"Comment","Date","Activity","Description","Distance in KM","Duration in HH:MM:SS.sss format","Calories Burned","Average Heart Rate","Weight in KG","Heart Rate Zone 0","Heart Rate Zone 1","Heart Rate Zone 2","Heart Rate Zone 3","Heart Rate Zone 4","Heart Rate Zone 5"
,"Apr 27, 2025","Steps",,"N/A","00:00","207","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"Apr 28, 2025","Steps",,"N/A","00:00","273","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"Apr 29, 2025","Steps",,"N/A","00:00","9","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"Apr 30, 2025","Steps",,"N/A","00:00","997","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"Apr 30, 2025","Indoor Run",,"9","59:08","791","168","N/A","N/A","N/A","N/A","N/A","31","25"
,"May 01, 2025","Steps",,"N/A","00:00","250","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 02, 2025","Steps",,"N/A","00:00","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 03, 2025","Steps",,"N/A","00:00","861","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 03, 2025","Running",,"8","1:05:00","650","142","N/A","N/A","8","7","30","11","7"
,"May 04, 2025","Steps",,"N/A","00:00","33","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 08, 2025","Steps",,"N/A","00:00","508","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 08, 2025","Outdoor Run",,"5","28:27","436","174","N/A","N/A","N/A","N/A","1","N/A","25"
,"May 09, 2025","Steps",,"N/A","00:00","192","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 10, 2025","Steps",,"N/A","00:00","1,025","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 12, 2025","Steps",,"N/A","00:00","2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 17, 2025","Steps",,"N/A","00:00","216","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 18, 2025","Steps",,"N/A","00:00","1,081","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
,"May 21, 2025","Steps",,"N/A","00:00","230","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
